,alg_id,alg_label,exp_uid,network_delay,participant_uid,query_uid,response_time,target_center,target_left,target_right,target_winner,timestamp_query_generated
0,UncertaintySampling,UncertaintySampling,fd8f6565f6fbdd02d76311757de812,0.277296,fd8f6565f6fbdd02d76311757de812_p025,a7eec66c5d52848599d523cf011e9db6,7.078,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/cow.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/ostrich.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/raccoon.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/raccoon.jpg,2017-03-22 20:14:31.044335
1,UncertaintySampling,UncertaintySampling,fd8f6565f6fbdd02d76311757de812,0.188091,fd8f6565f6fbdd02d76311757de812_p025,0670313fe7a0f101d3a9b7abe50626c6,5.779,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/rooster.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/zebra.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/ostrich.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/ostrich.jpg,2017-03-22 20:14:38.636397
2,UncertaintySampling,UncertaintySampling,fd8f6565f6fbdd02d76311757de812,0.1859,fd8f6565f6fbdd02d76311757de812_p025,83b3ebaea26e8e605aa24d2b669531db,2.906,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/giraffe.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/raccoon.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/pig.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/pig.jpg,2017-03-22 20:14:44.852824
3,UncertaintySampling,UncertaintySampling,fd8f6565f6fbdd02d76311757de812,0.197486,fd8f6565f6fbdd02d76311757de812_p025,3b0cc83fcf1457d937c508809c7c0a75,3.112,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/elephant.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/cow.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/giraffe.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/cow.jpg,2017-03-22 20:14:48.158216
4,UncertaintySampling,UncertaintySampling,fd8f6565f6fbdd02d76311757de812,0.185668,fd8f6565f6fbdd02d76311757de812_p025,9a259941f50c55e8146c6b4e2b3eea5f,4.109,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/ostrich.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/penguin.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/squirrel.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/squirrel.jpg,2017-03-22 20:14:51.667476
5,UncertaintySampling,UncertaintySampling,fd8f6565f6fbdd02d76311757de812,0.27124,fd8f6565f6fbdd02d76311757de812_p025,4571ce473db057eb639eb66ffa34e2aa,5.5,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/monkey.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/duck.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/cow.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/cow.jpg,2017-03-22 20:14:58.183105
6,RandomSampling,RandomSampling,fd8f6565f6fbdd02d76311757de812,0.205423,fd8f6565f6fbdd02d76311757de812_p025,7d04cbc95dc735ca8d0cac6d9e14e832,3.352,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/elephant.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/ostrich.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/bird.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/ostrich.jpg,2017-03-22 20:15:04.158786
7,UncertaintySampling,UncertaintySampling,fd8f6565f6fbdd02d76311757de812,0.215595,fd8f6565f6fbdd02d76311757de812_p025,c9bd178bd58b7c4d141c6d6d732ad80c,2.983,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/bird.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/owl.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/swan.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/swan.jpg,2017-03-22 20:15:07.954259
8,RandomSampling,RandomSampling,fd8f6565f6fbdd02d76311757de812,0.200917,fd8f6565f6fbdd02d76311757de812_p025,b7e0e05264f1fa69b8b253a5b8eabf5a,2.996,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/raccoon.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/rooster.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/peacock.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/rooster.jpg,2017-03-22 20:15:11.374328
9,UncertaintySampling,UncertaintySampling,fd8f6565f6fbdd02d76311757de812,0.203663,fd8f6565f6fbdd02d76311757de812_p025,66ee13a3c7308d57289cd6869f69f48d,3.757,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/owl.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/duck.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/monkey.jpg,http://7b23b2b9c86aaf4ceca5c2d4662255.s3.amazonaws.com/duck.jpg,2017-03-22 20:15:14.808915
